:                                         
:FLDçÄñ⁄ë™ì_  CH  èâä˙íl      åWêî    ñ}ó·
:--|---|---|---|-------|---------|-------|
   3   1   1 100   0.967      1000    No.1
   6   1   2 101   0.886      1000    No.2
   9   1   3 102   0.606      1000    No.3
  12   1   4 103       0      1000    No.4
  15   1   5 104       0      1000    No.5
  18   1   6 105       0      1000    No.6
  21   1   7 106       0      1000    No.7
