;七重側,,,,
;ID,name,初期座標X,初期座標Y,初期座標Z
1,NL6,0,0,0
2,NL5,0,0,0
3,NL4,0,0,0
4,NL3,0,0,0
5,NL2,0,0,0
6,NL1,0,0,0
7,NCL0,0,0,0
8,NR1,0,0,0
9,NR2,0,0,0
10,NR3,0,0,0
11,NR4,0,0,0
12,NR5,0,0,0
13,NR6,0,0,0
