;2側,,,,
;ID,name,オフセット値X(mm),オフセット値Y(mm),オフセット値Z(mm)
1,5900,0,0,0
2,590L2,0,0,0
3,590R17,0,0,0
4,6000,0,0,0
5,600L10,0,0,0
6,600R4,0,0,0
7,600R20,0,0,0
8,6100,0,0,0
9,610R10,0,0,0
10,610R26,0,0,0
11,620R16,0,0,0
12,620R32,0,0,0
13,630R22,0,0,0
14,630R38,0,0,0
15,640R28,0,0,0
