2017/11/28 08:00:00,0.0009,-0.0004,10.3453,-0.3002,-4.7278,10.3423,0.119,-9.6411,9.9089,0.0281,-15.1233,8.7767,-0.5385,-19.9863,8.3433,-0.4253,-25.1683,7.8571,-0.4442,-27.9761,7.8103,-0.4241,-31.1418,7.7309,-0.547,-34.2003,7.6783,-0.489,-36.9517,7.515,-0.8044,-42.1261,7.3051,-0.4308,-46.9422,7.252,0.0094,-51.9566,7.1394,-0.4166,-57.1193,7.1735
2017/11/28 12:00:00,0.0009,0.0165,10.3449,-0.2932,-4.7095,10.3411,0.1096,-9.6268,9.9085,0.034,-15.113,8.7767,-0.527,-19.9877,8.3424,-0.4258,-25.1651,7.8573,-0.4441,-27.9718,7.8102,-0.3969,-31.1355,7.7302,-0.5455,-34.1923,7.6788,-0.4611,-36.9559,7.5141,-0.7996,-42.1177,7.3056,-0.424,-46.9323,7.2527,0.0422,-51.952,7.1393,-0.3493,-57.111,7.1725
2017/11/28 13:00:00,0.001,0.0166,10.3448,-0.2933,-4.7095,10.3411,0.1095,-9.6269,9.9085,0.0338,-15.1126,8.7766,-0.5271,-19.9875,8.3424,-0.4259,-25.165,7.8572,-0.4442,-27.9717,7.8103,-0.397,-31.1354,7.7302,-0.5454,-34.1923,7.679,-0.4612,-36.9557,7.514,-0.7997,-42.1178,7.3058,-0.424,-46.9325,7.2526,0.042,-51.9519,7.1394,-0.349,-57.1112,7.1728
2017/11/28 14:00:00,0.0011,0.0166,10.3448,-0.2931,-4.7094,10.3409,0.1096,-9.6268,9.9084,0.0342,-15.1129,8.7765,-0.527,-19.9876,8.3423,-0.4258,-25.1651,7.8571,-0.4441,-27.9718,7.8101,-0.397,-31.1355,7.7301,-0.5455,-34.1924,7.6786,-0.4611,-36.9559,7.5138,-0.7998,-42.1178,7.3055,-0.4241,-46.9324,7.2525,0.0419,-51.9519,7.1393,-0.3496,-57.1113,7.1727
2017/11/28 15:00:00,0.001,0.0166,10.3449,-0.2932,-4.7094,10.3411,0.1094,-9.6268,9.9086,0.0341,-15.1131,8.7767,-0.527,-19.9875,8.3424,-0.4257,-25.1652,7.8572,-0.444,-27.9719,7.8102,-0.3968,-31.1355,7.7302,-0.5453,-34.1923,7.6788,-0.4609,-36.9559,7.5141,-0.7993,-42.1178,7.3057,-0.4237,-46.9324,7.2529,999999,999999,999999,-0.3489,-57.1112,7.1729
2017/11/28 15:00:00,0.001,0.0166,10.3449,-0.2932,-4.7094,10.3411,0.1094,-9.6268,9.9086,0.0341,-15.1131,8.7767,-0.527,-19.9875,8.3424,-0.4257,-25.1652,7.8572,-0.444,-27.9719,7.8102,-0.3968,-31.1355,7.7302,-0.5453,-34.1923,7.6788,-0.4609,-36.9559,7.5141,-0.7993,-42.1178,7.3057,-0.4237,-46.9324,7.2529,999999,999999,999999,-0.3489,-57.1112,7.1729,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
2019/04/25 11:15:00,-20.2577,-23.6537,8.9111,-10.0504,-18.3596,8.9603,-0.0062,0.0089,9.8119,-0.0243,-12.9318,8.8561,10.0282,0.1447,9.8857,10.2506,-7.2331,9.278,10.0373,-26.4263,8.4155,19.9747,0.0355,9.6589,20.0454,-20.6115,8.5725,27.8778,0.0055,10.2418,30.0096,-14.5833,8.4606,30.0511,-20.042,7.5844,29.9459,5.3048,9.9542,30.0831,9.9297,10.1555,40.0427,-8.2095,8.604,40.2338,-20.6093,7.8968,40.0309,11.413,10.375,999999,999999,999999,999999,999999,999999,999999,999999,999999
2019/04/25 11:30:00,-20.2576,-23.6537,8.911,-10.0504,-18.3596,8.9603,-0.0062,0.009,9.8119,-0.0243,-12.9319,8.8561,10.0282,0.1447,9.8857,10.2507,-7.2331,9.2779,10.0372,-26.4264,8.4155,19.9748,0.0355,9.6588,20.0454,-20.6115,8.5725,27.878,0.0057,10.2417,30.0096,-14.5833,8.4607,30.0511,-20.042,7.5845,29.9458,5.305,9.9542,30.083,9.9298,10.1554,40.0427,-8.2096,8.604,40.2338,-20.6094,7.8968,40.0308,11.4131,10.3749,999999,999999,999999,999999,999999,999999,999999,999999,999999
2019/04/25 11:45:00,-20.2577,-23.6537,8.9111,-10.0506,-18.3597,8.9604,-0.0063,0.0088,9.812,-0.0245,-12.9319,8.8561,10.0281,0.1446,9.8858,10.2505,-7.233,9.278,10.0372,-26.4264,8.4155,19.9746,0.0354,9.659,20.0453,-20.6115,8.5725,27.8777,0.0055,10.2417,30.0094,-14.5833,8.4608,30.0511,-20.0419,7.5845,29.9458,5.305,9.9541,30.083,9.9299,10.1554,40.0428,-8.2094,8.6041,40.2339,-20.6092,7.8969,40.0308,11.4132,10.3749,999999,999999,999999,999999,999999,999999,999999,999999,999999
2019/04/25 12:00:00,-20.2576,-23.6536,8.9111,-10.0506,-18.3596,8.9604,-0.0063,0.0091,9.8119,-0.0243,-12.9317,8.8562,10.0282,0.1445,9.8858,10.2506,-7.233,9.278,10.0373,-26.4262,8.4156,19.9747,0.0356,9.6589,20.0453,-20.6115,8.5725,27.8779,0.0057,10.2419,30.0096,-14.5832,8.4608,30.0511,-20.0419,7.5845,29.9458,5.305,9.9543,30.083,9.9299,10.1555,40.0428,-8.2094,8.6041,40.2339,-20.6093,7.897,40.0309,11.4132,10.375,40.0353,15.1566,11.1204,999999,999999,999999,999999,999999,999999
2019/04/25 12:15:00,-20.2576,-23.6537,8.9112,-10.0506,-18.3596,8.9603,-0.0061,0.009,9.8118,-0.0242,-12.9319,8.8561,10.0284,0.1445,9.8858,10.2507,-7.2331,9.2778,10.0372,-26.4265,8.4155,19.9748,0.0353,9.6588,20.0455,-20.6115,8.5724,27.878,0.0055,10.2418,30.0097,-14.5833,8.4607,30.0512,-20.0421,7.5844,29.9461,5.3047,9.9542,30.0833,9.9298,10.1556,40.0429,-8.2096,8.604,40.2339,-20.6095,7.8969,40.0311,11.413,10.3749,40.0353,15.1566,11.1204,999999,999999,999999,999999,999999,999999
2019/04/25 12:30:00,-20.2576,-23.6535,8.9111,-10.0505,-18.3594,8.9604,-0.0062,0.0091,9.8119,-0.0243,-12.9317,8.8561,10.0283,0.1446,9.8858,10.2506,-7.2329,9.278,10.0372,-26.4263,8.4155,19.9748,0.0356,9.6589,20.0453,-20.6115,8.5724,27.8779,0.0058,10.2418,30.0096,-14.5831,8.4608,30.051,-20.0419,7.5845,29.9458,5.305,9.954,30.0829,9.9299,10.1553,40.0427,-8.2094,8.604,40.2338,-20.6092,7.897,40.0308,11.4132,10.3748,40.0353,15.1566,11.1204,999999,999999,999999,999999,999999,999999
2019/04/25 12:45:00,-20.2576,-23.653,8.9114,-10.0504,-18.3591,8.9604,-0.0058,0.0093,9.812,-0.0242,-12.9314,8.8562,10.0285,0.1448,9.8857,10.2507,-7.2327,9.278,10.0372,-26.4262,8.4155,19.975,0.0357,9.6588,20.0454,-20.6114,8.5724,27.8779,0.0058,10.2419,30.0097,-14.5832,8.4608,30.0512,-20.042,7.5844,29.9462,5.3051,9.9543,30.0833,9.9299,10.1556,40.0426,-8.2095,8.6041,40.2339,-20.6095,7.8969,40.0316,11.4129,10.3749,40.0353,15.1566,11.1204,999999,999999,999999,999999,999999,999999
2019/04/25 13:00:00,-20.2578,-23.6536,8.9111,-10.0505,-18.3593,8.9602,-0.0061,0.0091,9.8118,-0.0244,-12.9316,8.8561,10.0283,0.1448,9.8856,10.2506,-7.2329,9.2779,10.0371,-26.4263,8.4153,19.9747,0.0357,9.6588,20.0452,-20.6115,8.5723,27.8776,0.0056,10.2416,30.0096,-14.5832,8.4606,30.0511,-20.042,7.5843,29.9458,5.3048,9.9542,30.083,9.9299,10.1554,40.0422,-8.2095,8.6039,40.2338,-20.6093,7.8967,40.031,11.413,10.375,40.0353,15.1566,11.1204,999999,999999,999999,999999,999999,999999
2019/04/25 13:15:00,-20.2576,-23.6534,8.9113,-10.0503,-18.3594,8.9605,-0.0059,0.009,9.812,-0.0244,-12.9317,8.8562,10.0283,0.1447,9.8859,10.2506,-7.2329,9.2779,10.0372,-26.4263,8.4154,19.9747,0.0355,9.6588,20.0453,-20.6115,8.5724,27.8774,0.0056,10.2419,30.0096,-14.5833,8.4606,30.0512,-20.042,7.5844,29.9459,5.305,9.9541,30.0831,9.9299,10.1554,40.0423,-8.2095,8.604,40.2338,-20.6094,7.8967,40.031,11.4131,10.3749,40.0353,15.1566,11.1204,999999,999999,999999,999999,999999,999999
2019/04/25 13:30:00,-20.2575,-23.6534,8.9111,-10.0502,-18.3594,8.9604,-0.0059,0.009,9.812,-0.0243,-12.9317,8.8562,10.0284,0.1446,9.8858,10.2506,-7.233,9.278,10.0372,-26.4265,8.4154,19.9748,0.0353,9.6588,20.0455,-20.6116,8.5724,27.8777,0.0054,10.2418,30.0098,-14.5834,8.4606,30.0513,-20.042,7.5844,29.9459,5.3048,9.954,30.0832,9.9298,10.1554,40.0424,-8.2098,8.6038,40.2339,-20.6095,7.8967,40.0312,11.4129,10.3746,40.0353,15.1566,11.1204,999999,999999,999999,999999,999999,999999
2019/04/25 13:45:00,-20.2577,-23.6532,8.9112,-10.0504,-18.3592,8.9605,-0.0061,0.0091,9.8121,-0.0245,-12.9317,8.8563,10.0283,0.1447,9.8858,10.2506,-7.2328,9.278,10.0372,-26.4262,8.4152,19.9748,0.0355,9.6589,20.0453,-20.6115,8.5724,27.8776,0.0055,10.2417,30.0095,-14.5834,8.4606,30.0511,-20.042,7.5844,29.946,5.3048,9.9542,30.0833,9.9298,10.1554,40.0423,-8.2097,8.6039,40.2338,-20.6093,7.8968,40.0315,11.4126,10.3747,40.0353,15.1566,11.1204,999999,999999,999999,999999,999999,999999
2019/04/25 14:00:00,-20.2577,-23.6532,8.9112,-10.0504,-18.3592,8.9605,-0.0061,0.0091,9.8121,-0.0245,-12.9317,8.8563,10.0283,0.1447,9.8858,10.2506,-7.2328,9.278,10.0372,-26.4262,8.4152,19.9748,0.0355,9.6589,20.0453,-20.6115,8.5724,27.8776,0.0055,10.2417,30.0095,-14.5834,8.4606,30.0511,-20.042,7.5844,29.946,5.3048,9.9542,30.0833,9.9298,10.1554,40.0423,-8.2097,8.6039,40.2338,-20.6093,7.8968,40.0315,11.4126,10.3747,40.0353,15.1566,11.1204,999999,999999,999999,999999,999999,999999
