OCL,0,0,-0.3971,-31.1354,7.7302,13.5835,0.0000,0.0000,0.0000,0.0000
OL,1,0,-0.4443,-27.9716,7.8102,10.6176,0.0000,0.0000,0.0000,0.0000
OL,2,0,-0.4260,-25.1650,7.8572,8.1483,0.0000,0.0000,0.0000,0.0000
OL,3,0,-0.5273,-19.9876,8.3425,4.4435,0.0000,0.0000,0.0000,0.0000
OL,4,0,0.0340,-15.1129,8.7767,5.5307,0.0000,0.0000,0.0000,0.0000
OL,5,0,0.1096,-9.6267,9.9086,9.7517,0.0000,0.0000,0.0000,0.0000
OL,6,0,-0.2932,-4.7093,10.3411,14.1962,0.0000,0.0000,0.0000,0.0000
OL,7,0,0.0009,0.0167,10.3449,18.8416,0.0000,0.0000,0.0000,0.0000
OR,1,0,-0.5457,-34.1922,7.6787,16.4706,0.0000,0.0000,0.0000,0.0000
OR,2,0,-0.4613,-36.9558,7.5139,19.1849,0.0000,0.0000,0.0000,0.0000
OR,3,0,-0.7998,-42.1174,7.3055,24.2000,0.0000,0.0000,0.0000,0.0000
OR,4,0,-0.4242,-46.9322,7.2526,29.0001,0.0000,0.0000,0.0000,0.0000
OR,5,0,0.0420,-51.9519,7.1393,34.0276,0.0000,0.0000,0.0000,0.0000
OR,6,0,-0.3493,-57.1109,7.1725,39.0902,0.0000,0.0000,0.0000,0.0000
Z,1,0,-0.1003,5.0159,10.5592,23.7216,0.0000,0.0000,0.0000,0.0000
Z,2,0,-29.7019,27.1187,12.5577,52.1242,0.0000,0.0000,0.0000,0.0000
Z,3,0,-39.7745,-16.3877,7.6606,35.6050,0.0000,0.0000,0.0000,0.0000
