Z,1,0,0,0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Z,1,0,2,0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Z,1,0,3,0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Z,2,0,0,0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Z,2,0,2,0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Z,2,0,3,0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
L,1,0,0,0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
L,1,0,2,0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
L,1,0,3,0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
L,1,0,1,0,0.0,9999.0,9999.0,9999.0,999.0,999.0,999.0,999.0,0.0,-9999.0,-9999.0,-9999.0,-999.0,-999.0,-999.0,-999.0
Z,1,0,1,0,9999.0,9999.0,9999.0,9999.0,999.0,999.0,999.0,999.0,-9999.0,-9999.0,-9999.0,-9999.0,-999.0,-999.0,-999.0,-999.0
Z,2,0,1,0,9999.0,9999.0,9999.0,9999.0,999.0,999.0,999.0,999.0,-9999.0,-9999.0,-9999.0,-9999.0,-999.0,-999.0,-999.0,-999.0
